               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.033067,            0.046926,            0.031069,             0.90628,             0.19046,             0.27974,             0.15137,            0.037847,            0.045533,            0.038336,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034823,            0.051634,            0.032083,             0.93993,             0.17268,             0.29484,             0.15792,            0.036429,            0.045943,            0.038149,           0.0087724,           0.0087724,           0.0087724
                  64,            0.031043,            0.052709,            0.031847,             0.90109,             0.18572,             0.28064,             0.14755,            0.039809,            0.045135,            0.037806,           0.0087526,           0.0087526,           0.0087526
                  65,            0.032633,            0.051343,            0.031583,             0.95377,             0.15437,             0.31621,             0.21265,            0.030909,            0.043959,            0.037609,           0.0087328,           0.0087328,           0.0087328
                  66,            0.032209,            0.047506,            0.030164,             0.92674,             0.18685,             0.30523,             0.18964,            0.034119,            0.047544,             0.03662,            0.008713,            0.008713,            0.008713
                  67,            0.030013,            0.050385,            0.031578,             0.75087,              0.2612,             0.31969,             0.20134,            0.032557,            0.045639,            0.036019,           0.0086932,           0.0086932,           0.0086932
                  68,            0.030778,            0.046107,            0.030583,             0.81658,             0.22165,             0.32212,             0.18956,            0.036926,            0.048153,            0.035507,           0.0086734,           0.0086734,           0.0086734
                  69,            0.031717,            0.050685,            0.031029,             0.93675,             0.19485,              0.3485,             0.21378,            0.035313,            0.047039,            0.035438,           0.0086536,           0.0086536,           0.0086536
                  70,            0.029446,            0.046663,            0.030234,             0.32188,             0.58566,             0.35513,             0.21552,            0.033453,            0.044238,            0.035349,           0.0086338,           0.0086338,           0.0086338
                  71,            0.032836,            0.045911,            0.029641,             0.85173,             0.20405,              0.3064,             0.18882,            0.035434,            0.045055,            0.035132,            0.008614,            0.008614,            0.008614
                  72,            0.032635,            0.049332,            0.030262,             0.84579,             0.24263,             0.31742,             0.19611,            0.037302,            0.045281,            0.035112,           0.0085942,           0.0085942,           0.0085942
                  73,            0.030181,            0.050138,             0.02992,             0.87224,             0.23151,             0.31735,             0.19611,            0.034205,            0.043977,            0.035061,           0.0085744,           0.0085744,           0.0085744
                  74,            0.031005,            0.044556,            0.030211,              0.8661,             0.23334,             0.31781,             0.18452,            0.036057,            0.044618,            0.034761,           0.0085546,           0.0085546,           0.0085546
                  75,             0.02873,            0.046913,            0.030488,             0.86751,             0.24358,             0.33822,             0.19093,            0.035068,            0.043127,            0.034469,           0.0085348,           0.0085348,           0.0085348
                  76,             0.03423,            0.049614,            0.028466,              0.8793,             0.24076,             0.35514,             0.24274,              0.0324,             0.04277,            0.034657,            0.008515,            0.008515,            0.008515
                  77,            0.031025,            0.052492,            0.029114,             0.88304,             0.26125,             0.39232,             0.25469,            0.035461,            0.042716,            0.034814,           0.0084952,           0.0084952,           0.0084952
                  78,            0.029083,            0.049481,            0.030012,             0.89096,             0.25785,             0.34623,             0.21554,            0.035084,             0.04409,            0.033898,           0.0084754,           0.0084754,           0.0084754
                  79,            0.033827,            0.044856,            0.028211,             0.87012,             0.25818,             0.35148,             0.20345,            0.035016,            0.043943,            0.033688,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031839,            0.048331,            0.028908,             0.89445,             0.24815,             0.33596,             0.19119,            0.041013,            0.043585,            0.032497,           0.0084358,           0.0084358,           0.0084358
                  81,            0.029059,            0.048328,            0.026424,             0.89303,             0.24674,             0.35303,             0.22491,            0.036033,            0.041933,            0.032412,            0.008416,            0.008416,            0.008416
                  82,            0.029284,            0.047905,            0.028265,             0.91786,             0.25346,             0.36219,             0.24595,            0.031972,             0.04161,            0.032385,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027864,            0.047198,            0.028358,             0.86717,             0.26071,              0.3551,             0.23413,            0.032975,            0.042396,            0.032428,           0.0083764,           0.0083764,           0.0083764
                  84,            0.027963,            0.044003,            0.029192,             0.81653,             0.29182,             0.36651,             0.24719,            0.028382,            0.041822,            0.032424,           0.0083566,           0.0083566,           0.0083566
                  85,            0.026233,            0.051366,            0.028316,             0.88823,             0.26591,             0.35689,             0.22766,            0.031814,            0.043005,            0.032317,           0.0083368,           0.0083368,           0.0083368
                  86,            0.028351,            0.047802,            0.025661,             0.89601,             0.26599,             0.37053,             0.24616,            0.033046,            0.043192,            0.032037,            0.008317,            0.008317,            0.008317
                  87,            0.031031,            0.050135,            0.028491,             0.93194,             0.24893,             0.41726,             0.28404,            0.030056,            0.043175,            0.031907,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02539,            0.045133,            0.026869,                0.89,             0.24224,             0.41748,             0.27694,            0.032563,             0.04304,            0.031851,           0.0082774,           0.0082774,           0.0082774
                  89,            0.026887,            0.053128,            0.027443,             0.94399,              0.2453,             0.42291,             0.30346,             0.02978,            0.042552,            0.031654,           0.0082576,           0.0082576,           0.0082576
                  90,            0.029497,            0.043018,            0.027239,             0.88982,             0.27146,             0.44105,             0.26082,            0.034076,            0.044066,            0.031206,           0.0082378,           0.0082378,           0.0082378
                  91,            0.030152,            0.043155,            0.029144,             0.91571,             0.26321,             0.45438,             0.30227,            0.033741,            0.044984,            0.030707,            0.008218,            0.008218,            0.008218
                  92,            0.028462,            0.044032,            0.025096,              0.9323,             0.27029,             0.47553,             0.32645,            0.029489,            0.044508,            0.030428,           0.0081982,           0.0081982,           0.0081982
                  93,            0.024784,             0.03706,            0.025664,             0.92101,             0.26528,              0.4665,             0.28696,             0.03537,            0.046412,            0.030061,           0.0081784,           0.0081784,           0.0081784
                  94,            0.027655,            0.047244,            0.026693,             0.92036,             0.26767,             0.47221,             0.30784,            0.035336,            0.047236,            0.030007,           0.0081586,           0.0081586,           0.0081586
                  95,            0.031115,            0.058294,             0.02561,             0.86424,             0.30032,             0.46434,             0.29094,            0.032612,            0.048328,            0.029981,           0.0081388,           0.0081388,           0.0081388
                  96,            0.028057,            0.045988,            0.025256,             0.90414,             0.26056,             0.43942,             0.28828,            0.031763,            0.046441,            0.029904,            0.008119,            0.008119,            0.008119
                  97,            0.030979,             0.05025,            0.024764,             0.93651,             0.26303,             0.44966,             0.31446,            0.031101,            0.045001,             0.02967,           0.0080992,           0.0080992,           0.0080992
                  98,            0.029571,            0.050248,            0.025831,             0.46518,             0.48889,             0.45807,             0.29672,            0.032592,            0.044333,            0.029759,           0.0080794,           0.0080794,           0.0080794
